wosarticle__ti;wosarticle__ab;wosarticle__py;To include;Costs, potentials, side effects;To read
CO2-Responsive Polymers;"This Review focuses on the recent progress in the area of CO2-responsive polymers and provides detailed descriptions of these existing examples. CO2-responsive polymers can be categorized into three types based on their CO2 responsive groups: amidine, amine, and carboxyl groups. Compared with traditional temperature, pH, or light stimuli-responsive polymers, CO2 responsive polymers provide the advantage to use CO2 as a ""green"" trigger as well as to capture CO2 directly from air. In addition, the current challenges of CO2-responsive polymers are discussed and the different solution methods are compared. Noteworthy, CO2-responsive polymers are considered to have a prosperous future in various scientific areas.";2013;1;0;X overview on materials
Three-Dimensionally Ordered Macroporous Polymeric Materials by Colloidal Crystal Templating for Reversible CO2 Capture;The design and preparation of porous materials with controlled structures and functionalities is crucial to a variety of absorption- or separation-relevant applications, including CO2 capture. Here, novel functional polymeric materials with three-dimensionally ordered macroporous (3DOM) structures are prepared by using colloidal crystals as templates using relatively simple, rapid, and inexpensive approaches. These ordered structures are used for the reversible CO2 capture from ambient air by humidity swing. Typically, the colloidal crystal template is synthesized from polymer latex particles of poly(methyl methacrylate) (PMMA) or polystyrene (PS). To maintain the functionality of the material, it is important to prevent the porous structure collapsing, which can occur by the hydrolysis of the ester bonds in conventional crosslinkers under basic conditions. This hydrolysis can be prevented by using a water-soluble crosslinker containing two quaternary ammonium moieties, which can be used to prepare stable porous crosslinked polymers with the monomer (vinylbenzyl)trimethylammonium chloride (VBTMACl) and using a PMMA-based colloidal crystal template. The hydroxide-containing monomer and dicationic crosslinker are synthesized from their chloride precursors, avoiding the ion-exchange step which causes shrinkage of the pores. An analysis of different methods for infiltrating the monomer solution into the colloidal crystal template shows that infiltration using capillary forces leads to fewer defects than infiltration under a partial vacuum. In addition, functional macroporous films with micrometer thickness are prepared from a template of PS-based colloidal crystals in a thin film. In general, the colloidal crystal templated materials showed improved CO2 absorption/desorption rates and swing sizes compared to a commercially available material with similar functional groups. This work could easily be extended to create a new generation of ordered macroporous polymeric materials with tunable functionalities for other applications.;2013;1;0;
Stability of Amine-Functionalized Cellulose during Temperature-Vacuum-Swing Cycling for CO2 Capture from Air;The stability of amine-functionalized nanofibrilated cellulose sorbent for direct air capture of CO2 is investigated during temperature-vacuum-swing (TVS) cycling. The presence of 02 at 90 degrees C degrades the sorbent, reducing its CO2 adsorption capacity by 30% after 15 h of treatment in moist air with a dew point of 22 degrees C. In contrast, exposure to moist CO2 at 90 degrees C with a dew point of 22 degrees C does not deteriorate its CO2 adsorption capacity after 15 h. Performing 100 TVS consecutive cycles, with CO2 adsorption from ambient air containing 400-530 ppm CO2 at 30 degrees C and 60% relative humidity and with CO2 desorption at 90 degrees C and 30 mbar, resulted in a reduction of the equilibrium CO2 adsorption capacity by maximum 5%. The average CO2 adsorption capacity during TVS cyclic operation is 0.90 mmol CO2/g.;2013;1;0;
Comparison of CO2 capture economics for iron and steel mills;One of the largest energy consuming manufacturing industries in the world is the iron and steel industry which emits almost 5% of the total world CO2 emissions. Previous studies examining the application of CO2 capture at iron and steel mills evaluated capture at conventional and Corex iron and steel mills. This study extends the analysis to include Hismelt, Midrex and the mini mill. In the first part of our study, we present a high level scoping assessment of the opportunities for implementing CO2 capture at existing direct atmospheric CO2 emission points. Implementing CO2 capture using commercial MEA solvent at a conventional iron and steel mill costs from A$ 80 to A$ 250 per tonne of CO2 avoided. Estimated costs to capture from the existing point sources at the Hismelt and Corex iron and steel mills also range from A$ 80 to A$ 250 per tonne of CO2 avoided. At a direct reduction iron process such as Midrex, the cost of CO2 capture from the process stack gas is estimated at about A$ 90 per tonne of CO2 avoided. A cost of approximately A$ 110 to A$ 130 per tonne of CO2 avoided is estimated to capture from the EAF unit of the steel production route for the Midrex and mini mill processes.Alternatively, CO2 can also be captured where it is produced from processes such as the blast furnace or reduction vessel. Although these streams contain a high level of CO2, they are used as a low-grade fuel throughout the plant and the produced CO2 is vented elsewhere. This study also estimates the cost of capturing the CO2 before further combustion and venting. The costs are estimated for the conventional iron and steel mill blast furnace, the top gas recycling blast furnace (TGRBF), Hismelt and Corex reduction vessel gases. Capture using MEA solvent absorption, the costs range from A$ 65 to almost A$ 80 per tonne CO2 avoided. Using Vacuum Pressure Swing Adsorption technology in place of MEA solvent absorption, the capture costs for these gases reduce by approximately 25-40%. (C) 2013 Elsevier Ltd. All rights reserved.;2013;0;0;steel ccs
Adsorptive drying of CO2 using low grade heat and humid, ambient air;Adsorptive separation of water from CO2 is an appealing alternative to liquid absorbers for post-combustion capture systems. In all cases, the purified CO2 stream from a PCC system will have a high moisture content and, due to equipment corrosion issues and the risk of hydrate formation, the CO2 stream must be rigorously dried prior to being compressed. This work reports the first study on solid adsorbent selection for CO2 drying using low grade heat and ambient air as a regeneration gas. Different types of adsorbents, chosen for their range of water adsorption characteristics, have been investigated for the desiccation of a pure CO2 stream. When destined for sequestration the CO2 product gas has little value and so the drying process should require no supporting process operations and should consume little additional energy. However, due to the costs and complexity of separating and purifying CO2 from a flue gas stream, the drying process should return as much CO2 as possible to the compression stage. An ideal desiccant for CO2 drying should have a high moisture capacity and selectivity and should be regenerable using waste heat and ambient, humid air. The CO2 drying performance of Na-, Ca-, and Ca/H- forms of ETS-10 were compared to that of commercial silica and 4A zeolite. Ca-ETS-10 was found to have the highest moisture capacity using a temperature swing of 30-70 degrees C and a CO2 feed stream of 50-100% relative humidity. Due to the intrinsic selectivity for water over CO2 on solid adsorbents, all desiccants tested had a CO2 recovery greater than 95%. (C) 2013 Elsevier B.V. All rights reserved.;2013;1;0;
Fighting global warming by photocatalytic reduction of CO2 using giant photocatalytic reactors;"Over the last decades, fighting global warming has become the most important challenge humanity has to face. Therefore technologies of carbon dioxide capture, sequestration and recycling are equally important in order to tackle the global climate change stakes. Among recycling technologies, photocatalytic processes reducing CO2 with H2O back to fuels or to other useful organic compounds, have the potential to be part of a renewable energy system. Indeed these processes can help to control CO2 emissions and eventually eliminate CO2 in excess.This perspective paper describes a large size device, able simultaneously:to proceed to direct air capture (DAC) of CO2;to transform part of it into useful chemicals, like hydrocarbons or syngas;and to produce renewable energy, thus preventing future CO2 emissions.Synergies between solar chimney power plants (SCPPs) and semiconductor photocatalysis in order to create giant photocatalytic reactors for artificial photosynthesis are discussed, as well as scale economies for unconventional carbon capture directly from the atmosphere.This paper presents a carbon negative emission technology obtained by coupling SCPPs with DAC systems which allows many scale economies, and also synergies to proceed to solar-to-chemical energy-conversion process by photocatalytic reduction of atmospheric CO2 under sunlight. (C) 2012 Elsevier Ltd. All rights reserved.";2013;1;1;
The use of solar energy can enhance the conversion of carbon dioxide into energy-rich products: stepping towards artificial photosynthesis;"The need to cut CO2 emission into the atmosphere is pushing scientists and technologists to discover and implement new strategies that may be effective for controlling the CO2 atmospheric level (and its possible effects on climate change). One option is the capture of CO2 from power plant flue gases or other industrial processes to avoid it entering the atmosphere. The captured CO2 can be either disposed in natural fields (geological cavities, spent gas or oil wells, coal beads, aquifers; even oceans have been proposed) or used as a source of carbon in synthetic processes. In this paper, we present the options for CO2 utilization and make an analysis of possible solutions for the conversion of large volumes of CO2 by either combining it with H-2, that must be generated from water, or by directly converting it into fuels by electrolysis in water using solar energy. A CO2-H-2-based economy may address the issue of reducing the environmental burden of energy production, also saving fossil carbon for future generations. The integration of CO2 capture and utilization with CO2 capture and storage would result in a more economically and energetically viable practice of CO2 capture.";2013;1;1;
UK carbon capture and storage, where is it?;Carbon capture and storage, to capture CO2 from power plants and big industry, remains much publicised, much talked about as an essential action against climate change, and intensively analysed and costed. However only four governments have had the courage to provide actual or allocated commercial funding to enable the first integrated projects to occur. The UK has experimented with several proposed funding mechanisms, and with several proposed designs for full-scale projects. However perceived expense remains a persistent blockage from the government perspective. And from the company perspective, perceived risk remains the critical disincentive. The UK has abundant storage which is ready to develop. CCS on gas (or maybe coal) fuelled plant is seen as the ideal compliment to variable wind power, and so is critical to the UK's future electricity delivery planning. What many analysts miss is that CO 2 storage will also be vital to any negative emissions strategy - either co-firing with biomass, or direct capture form the air - both need to bury CO2. How will CO2 storage be validated for commercial use? And how will commercial markets innovate and fund the integrated and expensive projects if UK Government refuses to take on risk?;2012;0;0;
Reply to Realff and Eisenberger: Energy requirements of air capture systems;;2012;1;1;
Mitigating climate change by CO2 air capture and geological storage: Opportunities for Iran;This paper investigates the preliminary strategies and tools for the implementation of CO2 air capture and geological storage as a potential mitigation option in the future climate policy of Iran. It is a method to capture CO2 directly from air and store it in geological structures based on large-scale industrial processes to enable the near-permanent sequestration of carbon. The reason for selecting this approach originates from its capability to mitigate CO2 from all economic sectors with a single technology, while the conventional capture methods are designed only for mitigation of CO2 from point sources of the power generation and industrial sectors. In order to facilitate the workflow of air capture as efficiently as possible, this study suggests some tools and directions for the selection of potential sectors and the prospective areas for the final site selection of the air capture units. © 2012 WIT Press.;2012;0;0;
Fuel from;Air Fuel Synthesis is jointly working with the universities of Nottingham and Loughborough, UK, to develop a technology for extracting and storing hydrogen from air. The company has announced that it has built a plant capable of synthesizing liquid fuels, using only air and electricity. The trial plant has proved carbon and hydrogen captured from air as a viable proposition and has processed its first fuel. The process starts with an air capture tower, which is a conventional wet scrubbing column with a forced air input manufactured by Parsons Engineering. The tower maintains a mist of sodium hydroxide at about 100°C under slight pressure, which reacts with carbon dioxide in the air, forming sodium carbonate. The resulting solution from the process is converted in a three-cell Electrocell electrolyzer to recover the CO2, which bubbles out and is stored in tanks.;2012;1;1;
Fuel synthesis with CO2 captured from atmosphere: Thermodynamic analysis;Synthetic hydrocarbon fuel, derived from renewable energy and captured carbon dioxide from flue gas and/or ambient air, can close its carbon cycle and is an important approach to sustainable energy. In this study, the thermodynamic performance of a coelectrolysis process for producing hydrogen and carbon monoxide from water and captured CO2 is investigated, based on current carbon capture and high-temperature electrolysis technologies. The exergy analysis is useful because it can reveal the energy losses due to irreversibilities and indicate possibilities for improvement of a process. Fuel synthesis systems integrated with or separated from different carbon capture technologies were evaluated and the analysis results have indicated that compared to the energy/exergy consumed by electrolysis, the energy/exergy penalty from CO2 capture is insignificant. The thermodynamic efficiency of fuel synthesis could be increased by developing fuel generation technologies with lower electricity requirements, especially when using solar and nuclear energy. ©The Electrochemical Society.;2012;1;0;
Carbon sequestration in an uncertain world;"Carbon sequestration has been proposed as an important means for mitigating climate change, particularly in the medium and longer term. Three approaches have been proposed: biological sequestration in trees and soils; capture from the flue gases of large fossil fuel-using plants, particularly for electric power generation, followed by transport and burial; capture directly from the air, followed by burial. Although biological sequestering in soils and biomass is a natural process, and is seen as the cheapest option, the annual potential is small, and storage may reverse later in the century. Carbon capture and sequestration is probably limited to about one third of annual fossil-fuel related emissions, and will have high energy and money costs if plants are not =capture-ready'. There are no limits on air capture, but it may need more energy than the energy content of the input fuels, and in any case is a high cost approach. Sequestration can be in geological reservoirs such as disused oil and gas fields, or saline aquifers. (Many researchers rule out ocean burial, both because of its adverse environmental effects and because of the temporary nature of storage.) There is however, great uncertainty in the total safe capacity of geological reservoirs. Perhaps even more importantly, the time for absorbtion mechanisms to act varies from immediate to hundreds or even thousands of years, so that annual limits on safe disposal may be the limiting factor. © 2012 Nova Science Publishers, Inc. All rights reserved.";2012;1;1;
Thermodynamic analysis of a supercritical power plant with oxy type pulverized fuel boiler, carbon dioxide capture system (cc) and four-end high temperature membrane air separator;"In this paper the analysis of a supercritical power plant was made. Power of the power plant is 460 MW. The parameters of life steam are at 29 MPa/600 oC and of the reheated steam 4.8 MPa/600 oC. Power plant is equipped with the following units: oxy type pulverized fuel boiler, ""four-end"" high temperature membrane (HTM) air separator and carbon dioxide capture system (CC). With the assumption of a constant gross power of the analyzed power plant the thermal efficiency of the boiler and power consumption of all mentioned above units were calculated. These parameters were designated as a function of the recovery rate of oxygen in the HTM. This allowed to make the characteristic of efficiency as a function of recovery rate. The net efficiency increased from 34.8% to 36.7% with a change of oxygen recovery rate from 0.45 to 0.9. The effect of membrane working temperature on the efficiency characteristics was also analyzed. Integration of CC, HTM air separator and steam cycle was proposed for the increase of the efficiency of a power plant. The theoretical analysis was carried out and appropriate calculations were made for this integration.";2012;1;0;
A solid molecular basket sorbent for CO2 capture from gas streams with low CO2 concentration under ambient conditions;In this paper, a solid molecular basket sorbent, 50 wt% PEI/SBA-15, was studied for CO2 capture from gas streams with low CO2 concentration under ambient conditions. The sorbent was able to effectively and selectively capture CO2 from a gas stream containing 1% CO2 at 75 degrees C, with a breakthrough and saturation capacity of 63.1 and 66.7 mg g(-1), respectively, and a selectivity of 14 for CO2/CO and 185 for CO2/Ar. The sorption performance of the sorbent was influenced greatly by the operating temperature. The CO2-TPD study showed that the sorbent could be regenerated under mild conditions (50-110 degrees C) and was stable in the cyclic operations for at least 20 cycles. Furthermore, the possibility for CO2 capture from air using the PEI/SBA-15 sorbent was studied by FTIR and proved by TPD. A capacity of 22.5 mg g(-1) was attained at 75 degrees C via a TPD method using a simulated air with 400 ppmv CO2 in N-2.;2012;0;0;
Willingness to Pay for a Climate Backstop: Liquid Fuel Producers and Direct CO2 Air Capture;We conduct a sensitivity analysis to describe conditions under which liquid fuel producers would fund the development of a climate backstop. We estimate (1) the cost to develop competitively priced direct CO2 air capture technology, a possible climate backstop and (2) the effect of this technology on the value of liquid fuel reserves by country and fuel. Under most assumptions, development costs exceed individual benefits. A particularly robust result is that carbon prices generate large benefits for conventional oil producers making a climate backstop unappealing for them. Unilateral investment does become more likely under: stringent carbon policy, social discount rates, improved technical outcomes, and high price elasticity of demand for liquid fuels. Early stage investment is inexpensive and could provide a hedge against such developments, particularly for fuels on the margin, such as tar sands and gas-to-liquids. Since only a few entities benefit, free riding is not an important disincentive to investment, although uncertainty about who benefits probably is. doi: 10.5547/ISSN0195-6574-EJ-Vol33-No1-3;2012;1;1;
CO2-depleted warm air venting from chrysotile milling waste (Thetford Mines, Canada): Evidence for in-situ carbon capture from the atmosphere;We have discovered diffuse warm air vents at the surface of a chrysotile milling waste heap at the Black Lake mine, Thetford Mines, Quebec, Canada. The venting areas are inconspicuous, except in winter when the vents form snow-free areas of unfrozen ground, each with a surface area of 1-15 m(2). The temperature and chemical composition of the warm air vents have been monitored from March 2009 to July 2010. The temperature of the warm air and ground surface at the venting sites ranged from 6.6 to 20.0 degrees C, whereas that of the ambient air ranged from -13.2 to 20.0 degrees C. The difference between atmospheric and vent air temperatures is greater in cold-weather months. The warm air has low CO2 content, but has otherwise normal atmospheric gas composition. Warm air volumetric flow varies from 2.1 to 19.9 L/m(2)/s in winter, when it contains between <10 and 18 ppm CO2. In summer, the venting areas are more diffuse, with volumetric flow rates ranging from 0.5 to 1.5 L/m(2)/s, and are less depleted in CO2 (260-370 ppm). Frozen ground is likely focusing airflow in winter compared to summer. We present a conceptual model in which air enters the steep flanks of the chrysotile milling waste heap, into which CO2 reacts with Mg-rich minerals, stripping CO2 from air by exothermic mineral carbonation reactions. Considering the surface area of summer and winter venting areas, flow rates, and concentration of CO2 in warm air vents, we estimate that the Black Lake mine heap passively captures at least 0.6 kt CO2 per year.;2012;0;0;
Adsorption Capacity of Carbon Dioxide on Amine Modified MesoporousMaterials with Larger Pore Sizes;Mesoporous silica SBA-15-like materials with large pores were synthesized using tri-block copolymer P123 as a structure-directing agent, tetramethoxysilane as the silicon source, and different organic solvents as swelling agents. The resulting materials were characterized by powder X-ray diffraction (XRD), N-2 adsorption-desorption, scanning electron microscopy (SEM), and Fourier transform infrared (FTIR) spectroscopy. The results showed that the introduction of swelling agents effectively enlarged the pore diameter and pore volume of the SBA-15 materials, and pore swelling with isooctane was larger than that with CCl4. When modified with tetraethylenepentamine (TEPA), all of these composite materials exhibited excellent adsorption capacities for CO2. The adsorption capacity of CO2 was independent of the pore structure, if the template was removed before modification with TEPA. By contrast, the adsorption capacity increased with the pore diameter when the as-synthesized mesoporous material was modified with TEPA. The effects of temperature and pressure on the CO2 adsorption capacity were investigated using adsorption isotherms and CO2 temperature-programmed desorption (TPD). With CO2 adsorption at higher temperature, the composite materials showed different adsorption capacities with pressure variation. As a result, the adsorption and separation of CO2 on these TEPA modified mesoporous materials in ambient air flow can be realized via pressure swing adsorption.;2012;1;0;
Capture of Carbon Dioxide from Air and Flue Gas in the Alkylamine-Appended Metal-Organic Framework mmen-Mg-2(dobpdc);"Two new metal organic frameworks, M-2(dobpdc) (M = Zn (1), Mg (2); dobpdc(4-) = 4,4'-dioxido-3,3'-biphenyldicarboxylate), adopting an expanded MOF-74 structure type, were synthesized via solvothermal and microwave methods. Coordinatively unsaturated Mg2+ cations lining the 18.4-angstrom-diameter channels of 2 were functionalized with N,N'-dimethylethylenediamine (mmen) to afford Mg-2(dobpdc)-(mmen)(1.6)(H2O)(0.4) (mmen-Mg-2(dobpdc)). This compound displays an exceptional capacity for CO2 adsorption at low pressures, taking up 2.0 mmol/g (8.1 wt %) at 0.39 mbar and 25 degrees C, conditions relevant to removal of CO2 from air, and 3.14 mmol/g (12.1 wt %) at 0.15 bar and 40 degrees C, conditions relevant to CO2 capture from flue gas. Dynamic gas adsorption/desorption cycling experiments demonstrate that mmen-Mg-2(dobpdc) can be regenerated upon repeated exposures to simulated air and flue gas mixtures, with cycling capacities of 1.05 mmol/g (4.4 wt %) after 1 h of exposure to flowing 390 ppm CO2 in simulated air at 25(degrees)C and 2.52 mmol/g (9.9 wt %) after 15 min of exposure to flowing 15% CO2 in N-2 at 40 degrees C. The purity of the CO2 removed from dry air and flue gas in these processes was estimated to be 96% and 98%, respectively. As a flue gas adsorbent, the regeneration energy was estimated through differential scanning calorimetry experiments to be 2.34 MJ/kg CO2 adsorbed. Overall, the performance characteristics of mmen-Mg-2(dobpdc) indicate it to be an exceptional new adsorbent for CO2 capture, comparing favorably with both amine-grafted silicas and aqueous amine solutions.";2012;1;0;
Modification of the Mg/DOBDC MOF with Amines to Enhance CO2 Adsorption from Ultradilute Gases;The MOF Mg/DOBDC has one of the highest known CO2 adsorption capacities at the low to moderate CO2 partial pressures relevant for CO2 capture from flue gas but is difficult to regenerate for use in cyclic operation. In this work, Mg/DOBDC is modified by functionalization of its open metal coordination sites with, ethylene diamine (ED) to introduce pendent amines into the MOP micropores. DFT calculations and experimental nitrogen physisorption and thermogravimetric analysis suggest that 1 ED molecule is added to each unit cell, on average. This modification both increases the material's CO2 adsorption capacity at ultradilute CO2 partial pressures and increases the regenerability of the material, allowing for cyclic adsorption-desorption cycles with identical adsorption capacities. This is one of the first MOF materials demonstrated to yield significant adsorption capacities from simulated ambient air (400 ppm CO2), and its capacity is competitive with the best-known adsorbents based on amine-oxide composites.;2012;1;0;
Dynamic separation of ultradilute CO2 with a nanoporous amine-based sorbent;An alternative amine-based sorbent (RFAS) was developed in this work. RFAS was assessed under various conditions. Studies show that the CO2 sorption capacities of RFAS increase considerably with N loading, slowly with increasing temperature (apparently contrary to the prediction with the isothermal equation of exothermic sorption), and gradually with the decease of gas flow rate in the tested range. In addition, CO2 sorption capacity increases and then decreases as the H2O:CO2 mole ratio increases, and the stoichiometric ratio 1:1 is the turning point. The CO2 sorption capacities achieved by RFAS with 8.07 mmol N/g for air with 400 ppm CO2 and the CO2-N-2 gas mixtures containing 1 vol% CO2 are 1.78 mmol CO2/g and 1.92 mmol CO2/g, respectively, higher than those reported in the most recent literature. A kinetic model corresponding to three proposed pathways is derived and expected to quantitatively predict the CO2 sorption characteristics given that the involved parameters can be established in the future. The half-CO2-adsorption and desorption times of RFAS along with temperatures are used to evaluate the dynamics of the sorbent. The adsorbed CO2 can be completely desorbed at only 80 degrees C within as short as 30 min. Low temperature desorption not only leads to the decrease in energy consumption but also benefits the structure stability of RFAS. The CO2 sorption capacities of RFAS within 10 sorption-desorption cycles are repeatable. All the results confirm that RFAS is a highly adsorptive, reversibly dynamic, and regenerable sorbent for capture of ultradilute CO2 from gas mixtures. (C) 2012 Elsevier B.V. All rights reserved.;2012;0;0;
Evaluation of a Primary Amine-Functionalized Ion-Exchange Resin for CO2 Capture;A primary amine-functionalized polymeric ion-exchange resin (Lewatit VP OC 1065, Lanxess) was evaluated for use in CO, capture applications. The polymeric resin was characterized by SEM, DRIFTS-IR, N-2 adsorption isotherms, and packed bed sorption measurements to determine some of the characteristic properties of the resin. Capture capacities ranging from 1.85 to 1.15 mol CO2/kg sorbent were obtained in a packed bed reactor exposed to 10 vol % CO2 in N-2 at adsorption temperatures ranging from 30 to 70 degrees C. The capture capacity of the resin was stable over 18 adsorption/regeneration cycles. The resin was evaluated through thermogravimetric analysis to have a low moisture adsorption (1.5 mol H2O/kg sorbent). It is possible to completely regenerate the resin under 1 atm of CO2 at 200 degrees C.;2012;0;0;
CARBON DIOXIDE CAPTURE FROM AIR: A SIMPLE ANALYSIS;A simplified analysis is presented in order to compare direct capture of carbon dioxide from air, i.e. air capture, and capture from fossil fuelled power plants. For air capture the literature shows conflicting data on the estimates of the costs of the technology, which range from 30 US$/t CO2 to $1000 US$/t CO2. This clearly creates uncertainty especially for those who have to implement long term policies to mitigate climate change. The aim of this contribution is not to assign a fixed cost to air capture, but to show that it is possible to make a common sense estimate of the ratios of cost and energy requirement of air capture compared to carbon capture from power plants. These ratios are at least 10 times for the cost and 3 to 4 times for the energy needed to produce a high purity carbon dioxide stream at atmospheric pressure.;2012;1;1;
UK CARBON CAPTURE AND STORAGE, WHERE IS IT?;Carbon capture and storage, to capture CO2 from power plants and big industry, remains much publicised, much talked about as an essential action against climate change, and intensively analysed and costed. However only four governments have had the courage to provide actual or allocated commercial funding to enable the first integrated projects to occur. The UK has experimented with several proposed funding mechanisms, and with several proposed designs for full-scale projects. However perceived expense remains a persistent blockage from the government perspective. And from the company perspective, perceived risk remains the critical disincentive. The UK has abundant storage which is ready to develop. CCS on gas (or maybe coal) fuelled plant is seen as the ideal compliment to variable wind power, and so is critical to the UK's future electricity delivery planning. What many analysts miss is that CO2 storage will also be vital to any negative emissions strategy either co-firing with biomass, or direct capture form the air both need to bury CO2. How will CO2 storage be validated for commercial use? And how will commercial markets innovate and fund the integrated and expensive projects if UK Government refuses to take on risk?;2012;1;1;
Air as the renewable carbon source of the future: an overview of CO2 capture from the atmosphere;The burning of our diminishing fossil fuel reserves is accompanied by a large anthropogenic CO2 release, which is outpacing nature's CO2 recycling capability, causing significant environmental harm. Much is being done to avert this crisis including more efficient technology for usage, savings and replacing carbon fuels with alternatives whenever feasible. The capture of CO2 followed by sequestration (CCS) into geologic formation or under the seas has also been proposed and in some cases implemented. Carbon capture and recycling (CCR) to fuels and materials is another promising approach. At first, capturing carbon dioxide from concentrated sources such as fossil fuel burning power plants, industrial plants and natural sources might be the most practical. However, the capture of CO2 from the atmosphere is also technically feasible despite its low concentration (similar to 390 ppm) and presents even some benefits compared to point source CO2 capture. The present article reviews methods developed for the capture of CO2 directly from the air as well as their advantages and drawbacks. While strong bases such as sodium hydroxide and potassium hydroxide could be used, their regeneration is energy intensive, requiring high temperatures. Amines either physically or chemically immobilized on solid supports require much lower temperatures for their regeneration and are therefore promising candidates.;2012;1;0;review
Analysis of Equilibrium-Based TSA Processes for Direct Capture of CO2 from Air;Direct capture of CO2 from air is a concept that, if successfully implemented, could lead to capture of CO2 from disperse sources. We have developed process models to consider the viability of adsorption-based air capture technologies. Our models focus on using an amino-modified silica adsorbent, TRI-PE-MCM-41, and a structured monolithic contactor unit. We have studied several different temperature swing adsorption processes using the purity of CO2 and annual product throughput as metrics for comparing process performance. This analysis identifies some of the operational parameters, adsorbent characteristics, and other factors that have a significant effect on the performance of the process. Using the total energy requirement of the process and available sources of energy, such as low pressure steam and electricity, we carry out an economic analysis to obtain a net operating cost for air capture of CO2. We identify a process with a daily throughput of similar to 1.1 t CO2 at 88.5% purity using standard shipping container sized air capture units. The total energy required (6745 MJ/t CO2) is dominated by the parasitic losses-sensible heat requirements of the contactor (40%) and the adsorbent (28%) and not by the mechanical energy associated with air flow (similar to 5%). On the basis of our analysis of factors such as source of electricity, availability of low pressure steam, and geographic location, the net operating cost of capture is estimated to be similar to$100/t CO2. These cost estimates do not include capital expenses necessary to construct or maintain the air capture units. Potential strategies for further reducing the energy and monetary cost of these processes are identified. Our analysis supports continued work to establish the technological and economic feasibility of adsorption-based air capture.;2012;1;1;
Dramatic Enhancement of CO2 Uptake by Poly(ethyleneimine) UsingZirconosilicate Supports;The CO2 adsorption characteristics of prototypical poly(ethyleneimine)/silica composite adsorbents can be drastically enhanced by altering the acid/base properties of the oxide support via incorporation of Zr into the silica support. Introduction of an optimal amount of Zr resulted in a significant improvement in the CO2 capacity and amine efficiency under dilute (simulated flue gas) and ultradilute (simulated ambient air) conditions. Adsorption experiments combined with detailed characterization by thermogravimetric analysis, temperature-programmed desorption, and in situ FT-IR spectroscopy clearly demonstrate a stabilizing effect of amphoteric Zr sites that enhances the adsorbent capacity, regenerability, and stability over continued recycling. It is suggested that the important role of the surface properties of the oxide support in these polymer/oxide composite adsorbents has been largely overlooked and that the properties may be even further enhanced in the future by tuning the acid/base properties of the support.;2012;1;0;
Aging and Free Volume in a Polymer of Intrinsic Microporosity (PIM-1);There is a growing market for polymeric gas separation membranes for applications such as air separation and carbon dioxide capture. One of the key properties dominating transport is the free volume between atoms, allowing gas diffusion. However, thin films, in particular, undergo aging, decreasing free volume, and, hence, performance with time.We have measured the change in free volume during aging of thin films of a polymer of intrinsic microporosity (PIM-1) by depth-resolved positron annihilation lifetime spectroscopy. For films with thickness, d, smaller than 1 mu m, aging is nearly complete after 3 months, whereas for films with d>1 mu m aging continues even after several months. Aging is thickness-and time-dependent and the free volume diffuses through the film to the free surface.;2012;0;0;
Metaphors We Die By? Geoengineering, Metaphors, and the Argument From Catastrophe;"Geoengineering the climate by reflecting sunlight or extracting carbon dioxide from the atmosphere has attracted increasing attention from natural scientists, social scientists, policy makers and the media. This article examines promotional discourse related to geoengineering from the 1980s to 2010. It asks in particular how this option for dealing with the problems posed by climate change were framed through the use of conceptual and discourse metaphors and whether one can argue that these are metaphors we ""live by"" or metaphors we might ""die by."" Findings show that an overarching argument from catastrophe was bolstered by three conceptual master-metaphors, namely ""THE PLANET IS A BODY,"" ""THE PLANET IS A MACHINE,"" and "" THE PLANET IS A PATIENT/ADDICT,"" linked to a variety of discourse metaphors, older conceptual metaphors, and cliches. This metaphorical landscape began to shift while the article was being written and will have to be closely monitored in the future.";2012;0;0;metaphors
Oxygen Transport Membranes for Ultra-Supercritical (USC) Power Plants With Very Low CO2 Emissions;Coal combustion for electric power generation is one of the major contributors to anthropogenic CO2 emissions to the atmosphere. Carbon capture and storage (CCS) technologies are currently intensively investigated in order to mitigate CO2 emissions. The technique which is currently the most pursued is post combustion scrubbing of the flue gas, due to the potential to retrofit post combustion capture to existing power plants. However, it also comes with a substantial energy penalty. To reduce the energy demand of CO2 processing, the so-called oxyfuel technology presents an option to increase the concentration of CO2 in the flue gas. Here, the coal is burned in a mixture of oxygen and recycled flue gas. Hence, the flue gas primarily consists of CO2 and water vapor, which can be easily condensed. In general, there are two different techniques for oxygen production in oxyfuel power plants: cryogenic air separation (it is a method which can be easily implemented since it is already well established in industry) and a mixed metal oxide ceramic membrane (ITM or OTM) operating at high temperatures (it is a new process for O-2 production, which is under development). In the last ten years, efforts in the efficient utilization of energy and reduction of emissions have indirectly stimulated research in mixed conducting membranes. In fact, the presently available cryogenic air separation process consumes a significant fraction of the generating plant's output and reduces its efficiency. Oxygen transport membrane (OTM) integration with an ultra-supercritical (USC) power plant is, indeed, considered a promising technology that will lead to economic and energy savings compared to the previous solution. In this paper, we discuss the actual potentialities and limits of OTM and their integration in USC power plants. [DOI: 10.1115/1.4006482];2012;0;0;
